categoryId,name,uri,product_id
1433,Laptop 14 inch,laptop-14-inch,94091
23,MacBook Pro,macbook-pro,94091
2401,Macbook Pro 2024,macbook-pro-2024,94091
380,Laptop,laptop,101839
5,Mac,mac,101839
1055,Laptop đồ họa,do-hoa,101839
1056,Laptop mỏng nhẹ,mong-nhe,101839
1217,Laptop Văn phòng,van-phong,101839
1432,Laptop 13 inch ,laptop-13-inch,101839
387,MacBook Air,macbook-air,101839
2511,Macbook M4,m4-series,101839
2,Root,default-category,93647
4,Máy tính bảng,tablet,93647
2263,Teclast,teclast,93647
3,Điện thoại,mobile,43152
132,Apple,apple,43152
1131,Điện thoại gaming,dien-thoai-gaming,43152
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,43152
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,43152
2221,Điện thoại AI,ai,43152
2240,Chuẩn NFC,nfc,43152
1392,iPhone 15 Series,iphone-15,43152
3,Điện thoại,mobile,88453
340,Xiaomi,xiaomi,88453
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,88453
2221,Điện thoại AI,ai,88453
2499,Xiaomi 15 Series,15-series,88453
2,Root,default-category,76443
3,Điện thoại,mobile,76443
340,Xiaomi,xiaomi,76443
1131,Điện thoại gaming,dien-thoai-gaming,76443
1601,Điện thoại pin trâu,dien-thoai-pin-trau,76443
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,76443
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,76443
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,76443
2221,Điện thoại AI,ai,76443
2240,Chuẩn NFC,nfc,76443
1882,Xiaomi 14 Series,14-series,76443
2,Root,default-category,97704
4,Máy tính bảng,tablet,97704
980,Xiaomi,xiaomi,97704
2,Root,default-category,93958
380,Laptop,laptop,93958
5,Mac,mac,93958
874,Mac mini,mini,93958
380,Laptop,laptop,104395
5,Mac,mac,104395
1055,Laptop đồ họa,do-hoa,104395
1056,Laptop mỏng nhẹ,mong-nhe,104395
1217,Laptop Văn phòng,van-phong,104395
1432,Laptop 13 inch ,laptop-13-inch,104395
387,MacBook Air,macbook-air,104395
2511,Macbook M4,m4-series,104395
2,Root,default-category,59294
3,Điện thoại,mobile,59294
35,Samsung,samsung,59294
1131,Điện thoại gaming,dien-thoai-gaming,59294
1601,Điện thoại pin trâu,dien-thoai-pin-trau,59294
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,59294
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59294
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59294
2221,Điện thoại AI,ai,59294
2240,Chuẩn NFC,nfc,59294
475,Galaxy S,galaxy-s,59294
1833,Galaxy S24 Series,s24-series,59294
2,Root,default-category,101603
4,Máy tính bảng,tablet,101603
279,iPad Air,ipad-air,101603
944,iPad,ipad,101603
2509,iPad Air M3,ipad-air-m3,101603
2,Root,default-category,85242
3,Điện thoại,mobile,85242
340,Xiaomi,xiaomi,85242
1131,Điện thoại gaming,dien-thoai-gaming,85242
1601,Điện thoại pin trâu,dien-thoai-pin-trau,85242
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,85242
2221,Điện thoại AI,ai,85242
2240,Chuẩn NFC,nfc,85242
1017,Redmi,redmi,85242
2434,Note 14 series,note-14-series,85242
2,Root,default-category,96195
380,Laptop,laptop,96195
5,Mac,mac,96195
1055,Laptop đồ họa,do-hoa,96195
1056,Laptop mỏng nhẹ,mong-nhe,96195
1217,Laptop Văn phòng,van-phong,96195
1433,Laptop 14 inch,laptop-14-inch,96195
23,MacBook Pro,macbook-pro,96195
2401,Macbook Pro 2024,macbook-pro-2024,96195
3,Điện thoại,mobile,88453
340,Xiaomi,xiaomi,88453
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,88453
2221,Điện thoại AI,ai,88453
2499,Xiaomi 15 Series,15-series,88453
2,Root,default-category,94083
380,Laptop,laptop,94083
5,Mac,mac,94083
1055,Laptop đồ họa,do-hoa,94083
1056,Laptop mỏng nhẹ,mong-nhe,94083
1217,Laptop Văn phòng,van-phong,94083
1433,Laptop 14 inch,laptop-14-inch,94083
23,MacBook Pro,macbook-pro,94083
2401,Macbook Pro 2024,macbook-pro-2024,94083
4,Máy tính bảng,tablet,45060
275,iPad mini,ipad-mini,45060
944,iPad,ipad,45060
2371,iPad mini 7,ipad-mini-2024,45060
2,Root,default-category,100854
3,Điện thoại,mobile,100854
925,Nubia,nubia,100854
2,Root,default-category,93960
380,Laptop,laptop,93960
5,Mac,mac,93960
874,Mac mini,mini,93960
2,Root,default-category,97704
4,Máy tính bảng,tablet,97704
980,Xiaomi,xiaomi,97704
2,Root,default-category,66253
4,Máy tính bảng,tablet,66253
138,Samsung,samsung,66253
1752,Tab S9 series,samsung-galaxy-tab-s9-series,66253
2,Root,default-category,76443
3,Điện thoại,mobile,76443
340,Xiaomi,xiaomi,76443
1131,Điện thoại gaming,dien-thoai-gaming,76443
1601,Điện thoại pin trâu,dien-thoai-pin-trau,76443
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,76443
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,76443
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,76443
2221,Điện thoại AI,ai,76443
2240,Chuẩn NFC,nfc,76443
1882,Xiaomi 14 Series,14-series,76443
2,Root,default-category,93962
380,Laptop,laptop,93962
5,Mac,mac,93962
874,Mac mini,mini,93962
4,Máy tính bảng,tablet,45060
275,iPad mini,ipad-mini,45060
944,iPad,ipad,45060
2371,iPad mini 7,ipad-mini-2024,45060
2,Root,default-category,94091
380,Laptop,laptop,94091
5,Mac,mac,94091
1055,Laptop đồ họa,do-hoa,94091
1056,Laptop mỏng nhẹ,mong-nhe,94091
1217,Laptop Văn phòng,van-phong,94091
1433,Laptop 14 inch,laptop-14-inch,94091
23,MacBook Pro,macbook-pro,94091
2401,Macbook Pro 2024,macbook-pro-2024,94091
3,Điện thoại,mobile,43151
132,Apple,apple,43151
1131,Điện thoại gaming,dien-thoai-gaming,43151
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,43151
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,43151
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,43151
2221,Điện thoại AI,ai,43151
2240,Chuẩn NFC,nfc,43151
1392,iPhone 15 Series,iphone-15,43151
2,Root,default-category,94090
380,Laptop,laptop,94090
5,Mac,mac,94090
1055,Laptop đồ họa,do-hoa,94090
1056,Laptop mỏng nhẹ,mong-nhe,94090
1217,Laptop Văn phòng,van-phong,94090
1433,Laptop 14 inch,laptop-14-inch,94090
23,MacBook Pro,macbook-pro,94090
2401,Macbook Pro 2024,macbook-pro-2024,94090
2,Root,default-category,66253
4,Máy tính bảng,tablet,66253
138,Samsung,samsung,66253
1752,Tab S9 series,samsung-galaxy-tab-s9-series,66253
2,Root,default-category,65139
4,Máy tính bảng,tablet,65139
138,Samsung,samsung,65139
1752,Tab S9 series,samsung-galaxy-tab-s9-series,65139
2,Root,default-category,59294
3,Điện thoại,mobile,59294
35,Samsung,samsung,59294
1131,Điện thoại gaming,dien-thoai-gaming,59294
1601,Điện thoại pin trâu,dien-thoai-pin-trau,59294
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,59294
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59294
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59294
2221,Điện thoại AI,ai,59294
2240,Chuẩn NFC,nfc,59294
475,Galaxy S,galaxy-s,59294
1833,Galaxy S24 Series,s24-series,59294
380,Laptop,laptop,104395
5,Mac,mac,104395
1055,Laptop đồ họa,do-hoa,104395
1056,Laptop mỏng nhẹ,mong-nhe,104395
1217,Laptop Văn phòng,van-phong,104395
1432,Laptop 13 inch ,laptop-13-inch,104395
387,MacBook Air,macbook-air,104395
2511,Macbook M4,m4-series,104395
3,Điện thoại,mobile,65920
35,Samsung,samsung,65920
1131,Điện thoại gaming,dien-thoai-gaming,65920
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,65920
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,65920
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,65920
2221,Điện thoại AI,ai,65920
2240,Chuẩn NFC,nfc,65920
971,Galaxy Z,galaxy-z,65920
2204,Z6 Series,z6-series,65920
2,Root,default-category,101626
4,Máy tính bảng,tablet,101626
944,iPad,ipad,101626
2222,Máy tính bảng AI,ai,101626
2510,iPad A16,ipad-a16,101626
2,Root,default-category,96195
380,Laptop,laptop,96195
5,Mac,mac,96195
1055,Laptop đồ họa,do-hoa,96195
1056,Laptop mỏng nhẹ,mong-nhe,96195
1217,Laptop Văn phòng,van-phong,96195
1433,Laptop 14 inch,laptop-14-inch,96195
23,MacBook Pro,macbook-pro,96195
2401,Macbook Pro 2024,macbook-pro-2024,96195
3,Điện thoại,mobile,36242
132,Apple,apple,36242
1131,Điện thoại gaming,dien-thoai-gaming,36242
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,36242
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,36242
2221,Điện thoại AI,ai,36242
2240,Chuẩn NFC,nfc,36242
927,iPhone 13 Series,iphone-13,36242
2,Root,default-category,65139
4,Máy tính bảng,tablet,65139
138,Samsung,samsung,65139
1752,Tab S9 series,samsung-galaxy-tab-s9-series,65139
2,Root,default-category,100854
3,Điện thoại,mobile,100854
925,Nubia,nubia,100854
2,Root,default-category,84925
4,Máy tính bảng,tablet,84925
252,Huawei,huawei,84925
2,Root,default-category,101626
4,Máy tính bảng,tablet,101626
944,iPad,ipad,101626
2222,Máy tính bảng AI,ai,101626
2510,iPad A16,ipad-a16,101626
2,Root,default-category,88519
4,Máy tính bảng,tablet,88519
980,Xiaomi,xiaomi,88519
2,Root,default-category,59257
3,Điện thoại,mobile,59257
132,Apple,apple,59257
1131,Điện thoại gaming,dien-thoai-gaming,59257
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59257
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59257
2221,Điện thoại AI,ai,59257
2240,Chuẩn NFC,nfc,59257
2305,iPhone 16 Series,iphone-16,59257
2,Root,default-category,93960
380,Laptop,laptop,93960
5,Mac,mac,93960
874,Mac mini,mini,93960
3,Điện thoại,mobile,43151
132,Apple,apple,43151
1131,Điện thoại gaming,dien-thoai-gaming,43151
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,43151
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,43151
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,43151
2221,Điện thoại AI,ai,43151
2240,Chuẩn NFC,nfc,43151
1392,iPhone 15 Series,iphone-15,43151
2,Root,default-category,59254
3,Điện thoại,mobile,59254
132,Apple,apple,59254
1131,Điện thoại gaming,dien-thoai-gaming,59254
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59254
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59254
2221,Điện thoại AI,ai,59254
2240,Chuẩn NFC,nfc,59254
2305,iPhone 16 Series,iphone-16,59254
2,Root,default-category,93962
380,Laptop,laptop,93962
5,Mac,mac,93962
874,Mac mini,mini,93962
2,Root,default-category,80611
4,Máy tính bảng,tablet,80611
252,Huawei,huawei,80611
2,Root,default-category,84925
4,Máy tính bảng,tablet,84925
252,Huawei,huawei,84925
3,Điện thoại,mobile,65920
35,Samsung,samsung,65920
1131,Điện thoại gaming,dien-thoai-gaming,65920
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,65920
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,65920
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,65920
2221,Điện thoại AI,ai,65920
2240,Chuẩn NFC,nfc,65920
971,Galaxy Z,galaxy-z,65920
2204,Z6 Series,z6-series,65920
3,Điện thoại,mobile,36242
132,Apple,apple,36242
1131,Điện thoại gaming,dien-thoai-gaming,36242
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,36242
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,36242
2221,Điện thoại AI,ai,36242
2240,Chuẩn NFC,nfc,36242
927,iPhone 13 Series,iphone-13,36242
2,Root,default-category,99364
3,Điện thoại,mobile,99364
340,Xiaomi,xiaomi,99364
587,POCO,pocophone,99364
1131,Điện thoại gaming,dien-thoai-gaming,99364
1601,Điện thoại pin trâu,dien-thoai-pin-trau,99364
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,99364
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,99364
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,99364
2221,Điện thoại AI,ai,99364
2240,Chuẩn NFC,nfc,99364
2,Root,default-category,86838
4,Máy tính bảng,tablet,86838
252,Huawei,huawei,86838
2,Root,default-category,94090
380,Laptop,laptop,94090
5,Mac,mac,94090
1055,Laptop đồ họa,do-hoa,94090
1056,Laptop mỏng nhẹ,mong-nhe,94090
1217,Laptop Văn phòng,van-phong,94090
1433,Laptop 14 inch,laptop-14-inch,94090
23,MacBook Pro,macbook-pro,94090
2401,Macbook Pro 2024,macbook-pro-2024,94090
2,Root,default-category,88519
4,Máy tính bảng,tablet,88519
980,Xiaomi,xiaomi,88519
2,Root,default-category,59257
3,Điện thoại,mobile,59257
132,Apple,apple,59257
1131,Điện thoại gaming,dien-thoai-gaming,59257
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59257
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59257
2221,Điện thoại AI,ai,59257
2240,Chuẩn NFC,nfc,59257
2305,iPhone 16 Series,iphone-16,59257
3,Điện thoại,mobile,100812
132,Apple,apple,100812
2305,iPhone 16 Series,iphone-16,100812
2,Root,default-category,101612
4,Máy tính bảng,tablet,101612
279,iPad Air,ipad-air,101612
944,iPad,ipad,101612
2509,iPad Air M3,ipad-air-m3,101612
2,Root,default-category,99768
3,Điện thoại,mobile,99768
35,Samsung,samsung,99768
478,Galaxy A,galaxy-a,99768
2,Root,default-category,59254
3,Điện thoại,mobile,59254
132,Apple,apple,59254
1131,Điện thoại gaming,dien-thoai-gaming,59254
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59254
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59254
2221,Điện thoại AI,ai,59254
2240,Chuẩn NFC,nfc,59254
2305,iPhone 16 Series,iphone-16,59254
2,Root,default-category,80611
4,Máy tính bảng,tablet,80611
252,Huawei,huawei,80611
2,Root,default-category,99364
3,Điện thoại,mobile,99364
340,Xiaomi,xiaomi,99364
587,POCO,pocophone,99364
1131,Điện thoại gaming,dien-thoai-gaming,99364
1601,Điện thoại pin trâu,dien-thoai-pin-trau,99364
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,99364
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,99364
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,99364
2221,Điện thoại AI,ai,99364
2240,Chuẩn NFC,nfc,99364
2,Root,default-category,86838
4,Máy tính bảng,tablet,86838
252,Huawei,huawei,86838
2,Root,default-category,93648
4,Máy tính bảng,tablet,93648
2263,Teclast,teclast,93648
2,Root,default-category,76439
3,Điện thoại,mobile,76439
340,Xiaomi,xiaomi,76439
1131,Điện thoại gaming,dien-thoai-gaming,76439
1601,Điện thoại pin trâu,dien-thoai-pin-trau,76439
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,76439
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,76439
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,76439
2240,Chuẩn NFC,nfc,76439
1882,Xiaomi 14 Series,14-series,76439
2,Root,default-category,104324
4,Máy tính bảng,tablet,104324
138,Samsung,samsung,104324
2357,Tab S10 Series,samsung-galaxy-tab-s10-series,104324
2,Root,default-category,101612
4,Máy tính bảng,tablet,101612
279,iPad Air,ipad-air,101612
944,iPad,ipad,101612
2509,iPad Air M3,ipad-air-m3,101612
3,Điện thoại,mobile,100812
132,Apple,apple,100812
2305,iPhone 16 Series,iphone-16,100812
2,Root,default-category,101624
4,Máy tính bảng,tablet,101624
944,iPad,ipad,101624
2222,Máy tính bảng AI,ai,101624
2510,iPad A16,ipad-a16,101624
2,Root,default-category,93648
4,Máy tính bảng,tablet,93648
2263,Teclast,teclast,93648
2,Root,default-category,31495
3,Điện thoại,mobile,31495
132,Apple,apple,31495
1131,Điện thoại gaming,dien-thoai-gaming,31495
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,31495
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,31495
2221,Điện thoại AI,ai,31495
2240,Chuẩn NFC,nfc,31495
981,iPhone 14 Series,iphone-14,31495
2,Root,default-category,88342
4,Máy tính bảng,tablet,88342
138,Samsung,samsung,88342
2222,Máy tính bảng AI,ai,88342
2357,Tab S10 Series,samsung-galaxy-tab-s10-series,88342
2,Root,default-category,99768
3,Điện thoại,mobile,99768
35,Samsung,samsung,99768
478,Galaxy A,galaxy-a,99768
2,Root,default-category,104324
4,Máy tính bảng,tablet,104324
138,Samsung,samsung,104324
2357,Tab S10 Series,samsung-galaxy-tab-s10-series,104324
4,Máy tính bảng,tablet,92982
275,iPad mini,ipad-mini,92982
944,iPad,ipad,92982
2371,iPad mini 7,ipad-mini-2024,92982
2,Root,default-category,99767
3,Điện thoại,mobile,99767
35,Samsung,samsung,99767
478,Galaxy A,galaxy-a,99767
2,Root,default-category,76439
3,Điện thoại,mobile,76439
340,Xiaomi,xiaomi,76439
1131,Điện thoại gaming,dien-thoai-gaming,76439
1601,Điện thoại pin trâu,dien-thoai-pin-trau,76439
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,76439
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,76439
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,76439
2240,Chuẩn NFC,nfc,76439
1882,Xiaomi 14 Series,14-series,76439
2,Root,default-category,101624
4,Máy tính bảng,tablet,101624
944,iPad,ipad,101624
2222,Máy tính bảng AI,ai,101624
2510,iPad A16,ipad-a16,101624
2,Root,default-category,91088
4,Máy tính bảng,tablet,91088
980,Xiaomi,xiaomi,91088
2,Root,default-category,101116
3,Điện thoại,mobile,101116
35,Samsung,samsung,101116
1131,Điện thoại gaming,dien-thoai-gaming,101116
1601,Điện thoại pin trâu,dien-thoai-pin-trau,101116
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,101116
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,101116
2240,Chuẩn NFC,nfc,101116
882,Galaxy M,galaxy-m,101116
2,Root,default-category,81803
4,Máy tính bảng,tablet,81803
279,iPad Air,ipad-air,81803
944,iPad,ipad,81803
2222,Máy tính bảng AI,ai,81803
2184,iPad Air 6 M2 2024,ipad-air-2024,81803
2,Root,default-category,59255
3,Điện thoại,mobile,59255
132,Apple,apple,59255
1131,Điện thoại gaming,dien-thoai-gaming,59255
1601,Điện thoại pin trâu,dien-thoai-pin-trau,59255
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,59255
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,59255
2221,Điện thoại AI,ai,59255
2240,Chuẩn NFC,nfc,59255
2305,iPhone 16 Series,iphone-16,59255
2,Root,default-category,88342
4,Máy tính bảng,tablet,88342
138,Samsung,samsung,88342
2222,Máy tính bảng AI,ai,88342
2357,Tab S10 Series,samsung-galaxy-tab-s10-series,88342
2,Root,default-category,31495
3,Điện thoại,mobile,31495
132,Apple,apple,31495
1131,Điện thoại gaming,dien-thoai-gaming,31495
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,31495
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,31495
2221,Điện thoại AI,ai,31495
2240,Chuẩn NFC,nfc,31495
981,iPhone 14 Series,iphone-14,31495
2,Root,default-category,79329
4,Máy tính bảng,tablet,79329
932,Lenovo,lenovo,79329
3,Điện thoại,mobile,67006
132,Apple,apple,67006
1131,Điện thoại gaming,dien-thoai-gaming,67006
1601,Điện thoại pin trâu,dien-thoai-pin-trau,67006
1603,Điện thoại cấu hình cao,dien-thoai-cau-hinh-cao,67006
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,67006
2221,Điện thoại AI,ai,67006
2240,Chuẩn NFC,nfc,67006
1392,iPhone 15 Series,iphone-15,67006
3,Điện thoại,mobile,87242
925,Nubia,nubia,87242
1601,Điện thoại pin trâu,dien-thoai-pin-trau,87242
4,Máy tính bảng,tablet,92982
275,iPad mini,ipad-mini,92982
944,iPad,ipad,92982
2371,iPad mini 7,ipad-mini-2024,92982
2,Root,default-category,99767
3,Điện thoại,mobile,99767
35,Samsung,samsung,99767
478,Galaxy A,galaxy-a,99767
2,Root,default-category,85477
4,Máy tính bảng,tablet,85477
2263,Teclast,teclast,85477
2,Root,default-category,101116
3,Điện thoại,mobile,101116
35,Samsung,samsung,101116
1131,Điện thoại gaming,dien-thoai-gaming,101116
1601,Điện thoại pin trâu,dien-thoai-pin-trau,101116
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,101116
1605,Điện thoại chụp ảnh/quay phim đẹp,dien-thoai-chup-anh-quay-phim,101116
2240,Chuẩn NFC,nfc,101116
882,Galaxy M,galaxy-m,101116
2,Root,default-category,88343
4,Máy tính bảng,tablet,88343
138,Samsung,samsung,88343
2222,Máy tính bảng AI,ai,88343
2357,Tab S10 Series,samsung-galaxy-tab-s10-series,88343
2,Root,default-category,90116
3,Điện thoại,mobile,90116
132,Apple,apple,90116
1131,Điện thoại gaming,dien-thoai-gaming,90116
1601,Điện thoại pin trâu,dien-thoai-pin-trau,90116
1602,Điện thoại dung lượng lớn,dien-thoai-dung-luong-lon,90116
